AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,LOAN_DLQ_NUM,TARGET
49,1,0,1,2,1,5000.0,1,1,2,0
32,1,0,1,3,3,12000.0,1,1,1,0
52,1,0,1,4,0,9000.0,2,1,0,0
39,1,0,1,1,1,25000.0,1,1,3,0
30,1,0,0,0,0,12000.0,2,1,2,0
29,1,0,0,0,0,12000.0,2,1,0,0
35,1,0,0,1,1,15000.0,2,2,0,0
41,1,0,1,0,0,6000.0,2,1,0,0
53,1,0,0,2,0,100000.0,1,1,0,0
43,1,0,1,0,0,7000.0,1,1,0,0
54,1,0,1,2,0,19000.0,1,1,0,0
26,1,0,0,0,0,18000.0,2,1,0,1
62,0,1,0,3,0,7000.0,1,1,0,1
45,1,0,1,3,1,12000.0,1,1,1,0
38,1,0,1,0,1,20000.0,2,1,0,0
41,1,0,1,0,0,60000.0,1,1,0,1
65,0,1,1,2,0,10000.0,1,1,0,0
29,1,0,1,1,1,5200.0,1,1,0,0
34,1,0,0,0,0,35000.0,1,1,1,1
28,1,0,1,0,0,15000.0,1,1,0,0
37,1,0,1,1,1,10000.0,1,1,0,0
42,1,0,1,1,1,10000.0,1,1,0,0
45,1,0,1,3,2,14000.0,1,1,0,0
32,1,0,1,0,0,10000.0,1,1,0,0
33,1,0,1,1,1,8000.0,1,1,0,0
38,1,0,1,1,1,13000.0,1,1,1,0
27,1,0,1,0,0,12500.0,1,1,1,0
31,1,0,1,1,1,12000.0,1,1,2,1
40,1,0,0,1,1,20000.0,1,1,0,0
63,0,1,1,0,0,5000.0,1,1,0,0
40,1,0,1,3,2,11000.0,1,1,0,0
27,1,0,0,1,1,15000.0,1,1,0,0
49,1,0,1,2,0,5000.0,1,1,0,0
29,1,0,0,0,0,10000.0,1,1,0,0
61,1,0,1,0,0,13000.0,1,1,0,0
43,1,0,1,2,2,30000.0,1,1,0,0
38,1,0,0,0,0,23000.0,2,2,0,0
38,1,0,0,4,4,15000.0,1,1,0,0
49,1,0,0,2,0,10000.0,1,1,0,0
44,1,0,1,0,0,13000.0,1,1,0,0
61,0,1,1,2,0,5000.0,1,1,0,0
28,1,0,1,1,1,8000.0,2,2,1,0
31,1,0,0,1,1,20000.0,1,1,0,0
59,0,1,1,0,0,4000.0,1,1,0,0
54,1,0,1,2,0,8000.0,2,1,4,0
48,1,0,1,2,0,13000.0,1,1,0,0
24,1,0,0,0,0,50000.0,1,1,0,0
48,1,0,1,0,0,15000.0,1,1,0,0
43,1,0,1,1,1,20000.0,2,1,2,0
23,1,0,0,1,1,18000.0,1,1,0,0
54,1,0,1,2,0,40000.0,1,1,0,0
37,1,0,0,1,1,10000.0,1,1,0,0
